rank,id,web_name,photo,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value,projection_score,form_score,fixture_score,availability_score,home_score,value_score,ownership_opportunity,edge_score,confidence,recommendation_reason
1,490,Wood,60689.jpg,Nott'm Forest,NFO,FWD,6.0,1.8,41,896,3,0,0.0,2.7,48.0,139.0,88.4,266.0,a,,,1.0,LEE,True,,1.0,5.659269386436438,5.66,0.9433333333333334,90.20979020979021,50.0,50.0,100.0,100,100.0,98.2,79.8,80,low ownership + strong value
2,464,Wissa,216646.jpg,Newcastle,NEW,FWD,6.0,1.7,27,517,1,1,0.0,1.4,25.5,58.0,46.7,163.0,a,,,1.0,LIV,True,,1.0,5.267874334967489,5.27,0.8783333333333333,83.39160839160839,50.0,50.0,100.0,100,92.58907363420427,98.3,76.1,76,low ownership + strong value
3,457,J.Murphy,114243.jpg,Newcastle,NEW,MID,6.0,0.2,82,1606,3,2,0.0,2.5,106.0,330.8,393.7,346.0,a,,,1.0,LIV,True,,1.0,5.04125815640121,5.04,0.84,79.37062937062937,50.0,50.0,100.0,100,88.21852731591449,99.8,74.1,74,low ownership + strong value
4,70,Kluivert,222683.jpg,Bournemouth,BOU,MID,6.0,1.1,41,945,2,0,0.0,2.0,58.8,148.0,305.1,135.0,a,,,1.0,MCI,False,,1.0,5.02772404231786,5.03,0.8383333333333334,79.1958041958042,50.0,50.0,100.0,50,88.02850356294537,98.9,73.8,74,low ownership + strong value
5,271,Muniz,244042.jpg,Fulham,FUL,FWD,5.5,0.7,36,987,1,1,0.0,1.7,47.3,113.2,93.2,287.0,a,,,1.0,CHE,True,,1.0,4.855827944983141,4.86,0.8836363636363637,76.22377622377623,50.0,50.0,100.0,100,93.19369466637876,99.3,72.7,73,low ownership + strong value
6,94,Schade,513418.jpg,Brentford,BRE,MID,6.0,2.0,125,2744,8,5,0.0,3.6,172.8,536.8,380.1,821.0,a,,,1.0,TOT,True,,1.0,4.801236313706982,4.8,0.7999999999999999,75.17482517482517,50.0,50.0,100.0,100,83.65795724465556,98.0,71.5,72,low ownership
7,453,Barnes,201666.jpg,Newcastle,NEW,MID,6.0,1.2,106,1951,7,1,0.0,2.9,147.0,404.0,387.5,682.0,a,,,1.0,LIV,True,,1.0,4.787961934890672,4.79,0.7983333333333333,75.0,50.0,50.0,100.0,100,83.46793349168647,98.8,71.5,72,low ownership
8,515,Maddison,172780.jpg,Spurs,TOT,MID,6.5,1.8,3,34,0,0,0.0,1.0,2.8,2.8,9.5,15.0,a,,,1.0,BRE,False,,1.0,4.825757737722716,4.83,0.7430769230769231,75.69930069930071,50.0,50.0,100.0,50,77.16791522017175,98.2,71.4,71,low ownership
9,454,Elanga,449434.jpg,Newcastle,NEW,MID,6.0,0.7,48,1302,0,1,0.0,1.5,57.8,130.4,266.7,185.0,a,,,1.0,LIV,True,,1.0,4.713012555487004,4.71,0.785,73.6013986013986,50.0,50.0,100.0,100,81.94774346793349,99.3,70.8,71,low ownership
10,431,Amad,493250.jpg,Man Utd,MUN,MID,6.0,1.7,91,2339,2,5,0.0,2.8,163.5,436.6,596.1,600.0,a,,,1.0,HUL,False,,1.0,4.556916415347175,4.56,0.7599999999999999,70.97902097902097,50.0,50.0,100.0,50,79.09738717339665,98.3,69.2,69,low ownership
11,209,Johnson,242898.jpg,Crystal Palace,CRY,MID,6.0,0.2,65,1710,2,1,0.0,1.9,75.8,223.4,311.1,230.0,a,,,1.0,EVE,False,,1.0,4.525015923679625,4.53,0.755,70.45454545454545,50.0,50.0,100.0,50,78.52731591448931,99.8,69.1,69,low ownership
12,261,Iwobi,153133.jpg,Fulham,FUL,MID,5.5,0.9,103,2420,4,3,0.0,3.6,159.4,511.2,739.4,343.0,a,,,1.0,CHE,True,,1.0,4.397168080796504,4.4,0.8,68.18181818181819,50.0,50.0,100.0,100,83.65795724465559,99.1,68.1,68,low ownership + strong value
13,14,Eze,232413.jpg,Arsenal,ARS,MID,6.5,3.1,113,1885,7,3,0.0,3.4,115.1,393.4,305.7,455.0,a,,,1.0,COV,True,,1.0,4.4772261926936165,4.48,0.6892307692307693,69.5804195804196,50.0,50.0,100.0,100,71.02868627809245,96.9,67.9,68,low ownership
14,222,Strand Larsen,247412.jpg,Crystal Palace,CRY,FWD,6.0,0.6,75,2301,4,1,0.0,2.1,91.5,265.2,203.1,469.0,a,,,1.0,EVE,False,,1.0,4.387319316982583,4.39,0.7316666666666666,68.006993006993,50.0,50.0,100.0,50,75.86698337292161,99.4,67.7,68,low ownership
