id,web_name,photo,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
427,Mbeumo,446008.jpg,Man Utd,MUN,MID,8.0,23.8,148,2611,11,3,0.0,4.5,231.4,628.8,803.1,882.0,a,,,1.0,HUL,False,,1.0,6.21507115819486,6.22,0.7775
379,Isak,219168.jpg,Liverpool,LIV,FWD,9.0,13.2,41,694,3,1,0.0,2.9,36.9,146.4,39.2,191.0,a,,,1.0,NEW,False,,1.0,6.183221163836656,6.18,0.6866666666666666
154,Palmer,244851.jpg,Chelsea,CHE,MID,9.5,11.3,114,1954,10,2,0.0,4.4,147.7,536.6,393.6,547.0,a,,,1.0,FUL,False,,1.0,5.828325127740341,5.83,0.6136842105263158
490,Wood,60689.jpg,Nott'm Forest,NFO,FWD,6.0,1.8,41,896,3,0,0.0,2.7,48.0,139.0,88.4,266.0,a,,,1.0,LEE,True,,1.0,5.659269386436438,5.66,0.9433333333333334
55,Watkins,178301.jpg,Aston Villa,AVL,FWD,8.0,12.7,167,2833,16,4,0.0,4.5,225.2,720.2,330.9,1206.0,a,,,1.0,BHA,False,,1.0,5.621356676277451,5.62,0.7025
428,Cunha,430871.jpg,Man Utd,MUN,MID,8.0,12.7,143,2493,10,4,0.0,4.3,202.5,675.8,545.4,801.0,a,,,1.0,HUL,False,,1.0,5.376468611189926,5.38,0.6725
411,Haaland,223094.jpg,Man City,MCI,FWD,15.5,73.7,239,2953,27,8,0.0,6.8,302.3,1180.4,320.1,1520.0,a,,,1.0,BOU,True,,1.0,5.325372420098184,5.33,0.3438709677419355
464,Wissa,216646.jpg,Newcastle,NEW,FWD,6.0,1.7,27,517,1,1,0.0,1.4,25.5,58.0,46.7,163.0,a,,,1.0,LIV,True,,1.0,5.267874334967489,5.27,0.8783333333333333
457,J.Murphy,114243.jpg,Newcastle,NEW,MID,6.0,0.2,82,1606,3,2,0.0,2.5,106.0,330.8,393.7,346.0,a,,,1.0,LIV,True,,1.0,5.04125815640121,5.04,0.84
70,Kluivert,222683.jpg,Bournemouth,BOU,MID,6.0,1.1,41,945,2,0,0.0,2.0,58.8,148.0,305.1,135.0,a,,,1.0,MCI,False,,1.0,5.02772404231786,5.03,0.8383333333333334
426,B.Fernandes,141746.jpg,Man Utd,MUN,MID,12.0,48.3,235,3065,9,24,0.0,6.7,381.4,1258.0,1938.5,614.0,a,,,1.0,HUL,False,,1.0,4.875184427113209,4.88,0.4066666666666667
271,Muniz,244042.jpg,Fulham,FUL,FWD,5.5,0.7,36,987,1,1,0.0,1.7,47.3,113.2,93.2,287.0,a,,,1.0,CHE,True,,1.0,4.855827944983141,4.86,0.8836363636363637
515,Maddison,172780.jpg,Spurs,TOT,MID,6.5,1.8,3,34,0,0,0.0,1.0,2.8,2.8,9.5,15.0,a,,,1.0,BRE,False,,1.0,4.825757737722716,4.83,0.7430769230769231
94,Schade,513418.jpg,Brentford,BRE,MID,6.0,2.0,125,2744,8,5,0.0,3.6,172.8,536.8,380.1,821.0,a,,,1.0,TOT,True,,1.0,4.801236313706982,4.8,0.7999999999999999
453,Barnes,201666.jpg,Newcastle,NEW,MID,6.0,1.2,106,1951,7,1,0.0,2.9,147.0,404.0,387.5,682.0,a,,,1.0,LIV,True,,1.0,4.787961934890672,4.79,0.7983333333333333
12,Saka,223340.jpg,Arsenal,ARS,MID,9.5,10.7,157,2218,7,10,0.0,5.1,230.6,627.0,847.6,828.0,a,,,1.0,COV,True,,1.0,4.7072205456723815,4.71,0.4957894736842105
454,Elanga,449434.jpg,Newcastle,NEW,MID,6.0,0.7,48,1302,0,1,0.0,1.5,57.8,130.4,266.7,185.0,a,,,1.0,LIV,True,,1.0,4.713012555487004,4.71,0.785
431,Amad,493250.jpg,Man Utd,MUN,MID,6.0,1.7,91,2339,2,5,0.0,2.8,163.5,436.6,596.1,600.0,a,,,1.0,HUL,False,,1.0,4.556916415347175,4.56,0.7599999999999999
209,Johnson,242898.jpg,Crystal Palace,CRY,MID,6.0,0.2,65,1710,2,1,0.0,1.9,75.8,223.4,311.1,230.0,a,,,1.0,EVE,False,,1.0,4.525015923679625,4.53,0.755
397,Semenyo,437730.jpg,Man City,MCI,MID,8.5,26.2,202,3200,17,6,0.0,5.5,257.7,923.2,607.4,1047.0,a,,,1.0,BOU,True,,1.0,4.487482178421835,4.49,0.5282352941176471
223,Mateta,231747.jpg,Crystal Palace,CRY,FWD,6.5,6.6,114,2210,12,0,0.0,3.6,150.8,567.2,160.6,786.0,a,,,1.0,EVE,False,,1.0,4.491116375674603,4.49,0.6907692307692308
14,Eze,232413.jpg,Arsenal,ARS,MID,6.5,3.1,113,1885,7,3,0.0,3.4,115.1,393.4,305.7,455.0,a,,,1.0,COV,True,,1.0,4.4772261926936165,4.48,0.6892307692307693
480,Gibbs-White,222531.jpg,Nott'm Forest,NFO,MID,8.0,11.6,188,3101,15,4,0.0,5.1,242.5,843.8,747.7,836.0,a,,,1.0,LEE,True,,1.0,4.474106770225691,4.47,0.55875
367,Gakpo,243298.jpg,Liverpool,LIV,MID,7.0,3.4,131,2736,7,5,0.0,3.6,208.4,540.4,714.7,831.0,a,,,1.0,NEW,False,,1.0,4.459328795286808,4.46,0.6371428571428571
40,Rogers,244850.jpg,Chelsea,CHE,MID,7.5,27.1,169,3280,10,8,0.0,4.6,232.0,746.2,706.2,871.0,a,,,1.0,FUL,False,,1.0,4.439420743136981,4.44,0.5920000000000001
208,Sarr,232185.jpg,Crystal Palace,CRY,MID,6.5,8.2,117,2173,9,2,0.0,4.2,135.1,479.8,269.4,601.0,a,,,1.0,EVE,False,,1.0,4.406475855414974,4.41,0.6784615384615384
368,Szoboszlai,424876.jpg,Liverpool,LIV,MID,7.0,44.1,160,3232,6,7,0.0,4.4,260.9,867.8,1324.6,417.0,a,,,1.0,NEW,False,,1.0,4.414711190038822,4.41,0.63
165,João Pedro,475168.jpg,Chelsea,CHE,FWD,7.5,55.7,177,2658,15,9,0.0,5.1,212.1,758.4,456.6,909.0,a,,,1.0,FUL,False,,1.0,4.39570545298281,4.4,0.5866666666666667
261,Iwobi,153133.jpg,Fulham,FUL,MID,5.5,0.9,103,2420,4,3,0.0,3.6,159.4,511.2,739.4,343.0,a,,,1.0,CHE,True,,1.0,4.397168080796504,4.4,0.8
222,Strand Larsen,247412.jpg,Crystal Palace,CRY,FWD,6.0,0.6,75,2301,4,1,0.0,2.1,91.5,265.2,203.1,469.0,a,,,1.0,EVE,False,,1.0,4.387319316982583,4.39,0.7316666666666666
435,Lacey,576628.jpg,Man Utd,MUN,MID,5.0,0.1,3,40,0,0,0.0,1.0,1.7,4.0,2.1,16.0,a,,,1.0,HUL,False,,1.0,4.2,4.2,0.8400000000000001
164,Quenda,593117.jpg,Chelsea,CHE,MID,5.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,100.0,1.0,FUL,False,,1.0,4.2,4.2,0.7636363636363637
163,D.Essugo,491007.jpg,Chelsea,CHE,MID,4.5,0.2,1,26,0,0,0.0,0.3,1.6,11.4,2.1,2.0,a,,,1.0,FUL,False,,1.0,4.2,4.2,0.9333333333333333
134,Oriola,556637.jpg,Brighton,BHA,MID,4.5,0.2,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,a,,,1.0,AVL,True,,1.0,4.2,4.2,0.9333333333333333
246,Röhl,513466.jpg,Everton,EVE,MID,5.0,0.1,36,675,1,1,0.0,2.2,26.3,113.0,87.4,62.0,a,,,1.0,CRY,True,,1.0,4.2,4.2,0.8400000000000001
247,Hackney,244860.jpg,Everton,EVE,MID,5.5,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,CRY,True,,1.0,4.2,4.2,0.7636363636363637
158,Gittens,463936.jpg,Chelsea,CHE,MID,6.0,0.1,25,486,0,2,0.0,1.6,31.3,93.0,130.4,91.0,a,,,1.0,FUL,False,,1.0,4.2,4.2,0.7000000000000001
405,N.Gonzalez,465694.jpg,Man City,MCI,MID,5.5,0.1,63,1561,1,0,0.0,2.5,61.5,309.8,234.1,72.0,a,,,1.0,BOU,True,,1.0,4.2,4.2,0.7636363636363637
404,Reijnders,433036.jpg,Man City,MCI,MID,6.0,0.4,92,1623,5,3,0.0,3.3,111.2,340.0,347.8,435.0,a,,,1.0,BOU,True,,1.0,4.2,4.2,0.7000000000000001
403,Savinho,510281.jpg,Man City,MCI,MID,6.5,0.1,43,817,1,2,0.0,1.8,65.8,138.6,198.4,321.0,a,,,1.0,BOU,True,,1.0,4.2,4.2,0.6461538461538462
263,Kevin,560552.jpg,Fulham,FUL,MID,5.5,0.1,49,1030,1,3,0.0,1.9,70.4,216.0,246.6,243.0,a,,,1.0,CHE,True,,1.0,4.2,4.2,0.7636363636363637
