rank,id,web_name,photo,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value,projection_score,form_score,fixture_score,availability_score,home_score,value_score,ownership_opportunity,edge_score,confidence,recommendation_reason
1,427,Mbeumo,446008.jpg,Man Utd,MUN,MID,8.0,23.8,148,2611,11,3,0.0,4.5,231.4,628.8,803.1,882.0,a,,,1.0,HUL,False,,1.0,6.21507115819486,6.22,0.7775,100.0,50.0,50.0,100.0,50,81.09263657957244,76.2,85.0,85,strong projection
2,379,Isak,219168.jpg,Liverpool,LIV,FWD,9.0,13.2,41,694,3,1,0.0,2.9,36.9,146.4,39.2,191.0,a,,,1.0,NEW,False,,1.0,6.183221163836656,6.18,0.6866666666666666,99.3006993006993,50.0,50.0,100.0,50,70.73634204275534,86.8,84.6,85,strong projection
3,154,Palmer,244851.jpg,Chelsea,CHE,MID,9.5,11.3,114,1954,10,2,0.0,4.4,147.7,536.6,393.6,547.0,a,,,1.0,FUL,False,,1.0,5.828325127740341,5.83,0.6136842105263158,93.18181818181819,50.0,50.0,100.0,50,62.415301912739096,88.7,80.9,81,strong overall statistical profile
4,490,Wood,60689.jpg,Nott'm Forest,NFO,FWD,6.0,1.8,41,896,3,0,0.0,2.7,48.0,139.0,88.4,266.0,a,,,1.0,LEE,True,,1.0,5.659269386436438,5.66,0.9433333333333334,90.20979020979021,50.0,50.0,100.0,100,100.0,98.2,79.1,79,low ownership + strong value
5,55,Watkins,178301.jpg,Aston Villa,AVL,FWD,8.0,12.7,167,2833,16,4,0.0,4.5,225.2,720.2,330.9,1206.0,a,,,1.0,BHA,False,,1.0,5.621356676277451,5.62,0.7025,89.51048951048952,50.0,50.0,100.0,50,72.541567695962,87.3,78.7,79,strong overall statistical profile
6,428,Cunha,430871.jpg,Man Utd,MUN,MID,8.0,12.7,143,2493,10,4,0.0,4.3,202.5,675.8,545.4,801.0,a,,,1.0,HUL,False,,1.0,5.376468611189926,5.38,0.6725,85.3146853146853,50.0,50.0,100.0,50,69.12114014251782,87.3,76.2,76,strong overall statistical profile
7,411,Haaland,223094.jpg,Man City,MCI,FWD,15.5,73.7,239,2953,27,8,0.0,6.8,302.3,1180.4,320.1,1520.0,a,,,1.0,BOU,True,,1.0,5.325372420098184,5.33,0.3438709677419355,84.44055944055945,50.0,50.0,100.0,100,31.652746915945134,26.299999999999997,75.7,76,strong overall statistical profile
8,464,Wissa,216646.jpg,Newcastle,NEW,FWD,6.0,1.7,27,517,1,1,0.0,1.4,25.5,58.0,46.7,163.0,a,,,1.0,LIV,True,,1.0,5.267874334967489,5.27,0.8783333333333333,83.39160839160839,50.0,50.0,100.0,100,92.58907363420427,98.3,75.0,75,low ownership + strong value
9,457,J.Murphy,114243.jpg,Newcastle,NEW,MID,6.0,0.2,82,1606,3,2,0.0,2.5,106.0,330.8,393.7,346.0,a,,,1.0,LIV,True,,1.0,5.04125815640121,5.04,0.84,79.37062937062937,50.0,50.0,100.0,100,88.21852731591449,99.8,72.6,73,low ownership + strong value
10,70,Kluivert,222683.jpg,Bournemouth,BOU,MID,6.0,1.1,41,945,2,0,0.0,2.0,58.8,148.0,305.1,135.0,a,,,1.0,MCI,False,,1.0,5.02772404231786,5.03,0.8383333333333334,79.1958041958042,50.0,50.0,100.0,50,88.02850356294537,98.9,72.5,72,low ownership + strong value
11,426,B.Fernandes,141746.jpg,Man Utd,MUN,MID,12.0,48.3,235,3065,9,24,0.0,6.7,381.4,1258.0,1938.5,614.0,a,,,1.0,HUL,False,,1.0,4.875184427113209,4.88,0.4066666666666667,76.57342657342657,50.0,50.0,100.0,50,38.812351543942995,51.7,70.9,71,strong overall statistical profile
12,271,Muniz,244042.jpg,Fulham,FUL,FWD,5.5,0.7,36,987,1,1,0.0,1.7,47.3,113.2,93.2,287.0,a,,,1.0,CHE,True,,1.0,4.855827944983141,4.86,0.8836363636363637,76.22377622377623,50.0,50.0,100.0,100,93.19369466637876,99.3,70.7,71,low ownership + strong value
13,515,Maddison,172780.jpg,Spurs,TOT,MID,6.5,1.8,3,34,0,0,0.0,1.0,2.8,2.8,9.5,15.0,a,,,1.0,BRE,False,,1.0,4.825757737722716,4.83,0.7430769230769231,75.69930069930071,50.0,50.0,100.0,50,77.16791522017175,98.2,70.4,70,low ownership
14,94,Schade,513418.jpg,Brentford,BRE,MID,6.0,2.0,125,2744,8,5,0.0,3.6,172.8,536.8,380.1,821.0,a,,,1.0,TOT,True,,1.0,4.801236313706982,4.8,0.7999999999999999,75.17482517482517,50.0,50.0,100.0,100,83.65795724465556,98.0,70.1,70,low ownership
15,453,Barnes,201666.jpg,Newcastle,NEW,MID,6.0,1.2,106,1951,7,1,0.0,2.9,147.0,404.0,387.5,682.0,a,,,1.0,LIV,True,,1.0,4.787961934890672,4.79,0.7983333333333333,75.0,50.0,50.0,100.0,100,83.46793349168647,98.8,70.0,70,low ownership
16,12,Saka,223340.jpg,Arsenal,ARS,MID,9.5,10.7,157,2218,7,10,0.0,5.1,230.6,627.0,847.6,828.0,a,,,1.0,COV,True,,1.0,4.7072205456723815,4.71,0.4957894736842105,73.6013986013986,50.0,50.0,100.0,100,48.97362170271284,89.3,69.2,69,strong overall statistical profile
17,454,Elanga,449434.jpg,Newcastle,NEW,MID,6.0,0.7,48,1302,0,1,0.0,1.5,57.8,130.4,266.7,185.0,a,,,1.0,LIV,True,,1.0,4.713012555487004,4.71,0.785,73.6013986013986,50.0,50.0,100.0,100,81.94774346793349,99.3,69.2,69,low ownership
18,431,Amad,493250.jpg,Man Utd,MUN,MID,6.0,1.7,91,2339,2,5,0.0,2.8,163.5,436.6,596.1,600.0,a,,,1.0,HUL,False,,1.0,4.556916415347175,4.56,0.7599999999999999,70.97902097902097,50.0,50.0,100.0,50,79.09738717339665,98.3,67.6,68,low ownership
19,209,Johnson,242898.jpg,Crystal Palace,CRY,MID,6.0,0.2,65,1710,2,1,0.0,1.9,75.8,223.4,311.1,230.0,a,,,1.0,EVE,False,,1.0,4.525015923679625,4.53,0.755,70.45454545454545,50.0,50.0,100.0,50,78.52731591448931,99.8,67.3,67,low ownership
20,397,Semenyo,437730.jpg,Man City,MCI,MID,8.5,26.2,202,3200,17,6,0.0,5.5,257.7,923.2,607.4,1047.0,a,,,1.0,BOU,True,,1.0,4.487482178421835,4.49,0.5282352941176471,69.75524475524476,50.0,50.0,100.0,100,52.67290764286713,73.8,66.9,67,strong overall statistical profile
21,223,Mateta,231747.jpg,Crystal Palace,CRY,FWD,6.5,6.6,114,2210,12,0,0.0,3.6,150.8,567.2,160.6,786.0,a,,,1.0,EVE,False,,1.0,4.491116375674603,4.49,0.6907692307692308,69.75524475524476,50.0,50.0,100.0,50,71.20409281929471,93.4,66.9,67,under-owned
22,14,Eze,232413.jpg,Arsenal,ARS,MID,6.5,3.1,113,1885,7,3,0.0,3.4,115.1,393.4,305.7,455.0,a,,,1.0,COV,True,,1.0,4.4772261926936165,4.48,0.6892307692307693,69.5804195804196,50.0,50.0,100.0,100,71.02868627809245,96.9,66.7,67,low ownership
23,480,Gibbs-White,222531.jpg,Nott'm Forest,NFO,MID,8.0,11.6,188,3101,15,4,0.0,5.1,242.5,843.8,747.7,836.0,a,,,1.0,LEE,True,,1.0,4.474106770225691,4.47,0.55875,69.4055944055944,50.0,50.0,100.0,100,56.15201900237528,88.4,66.6,67,strong overall statistical profile
24,367,Gakpo,243298.jpg,Liverpool,LIV,MID,7.0,3.4,131,2736,7,5,0.0,3.6,208.4,540.4,714.7,831.0,a,,,1.0,NEW,False,,1.0,4.459328795286808,4.46,0.6371428571428571,69.23076923076923,50.0,50.0,100.0,50,65.08992195453003,96.6,66.5,66,low ownership
25,40,Rogers,244850.jpg,Chelsea,CHE,MID,7.5,27.1,169,3280,10,8,0.0,4.6,232.0,746.2,706.2,871.0,a,,,1.0,FUL,False,,1.0,4.439420743136981,4.44,0.5920000000000001,68.88111888111888,50.0,50.0,100.0,50,59.942992874109265,72.9,66.3,66,strong overall statistical profile
26,368,Szoboszlai,424876.jpg,Liverpool,LIV,MID,7.0,44.1,160,3232,6,7,0.0,4.4,260.9,867.8,1324.6,417.0,a,,,1.0,NEW,False,,1.0,4.414711190038822,4.41,0.63,68.35664335664336,50.0,50.0,100.0,50,64.27553444180522,55.9,66.0,66,strong overall statistical profile
27,208,Sarr,232185.jpg,Crystal Palace,CRY,MID,6.5,8.2,117,2173,9,2,0.0,4.2,135.1,479.8,269.4,601.0,a,,,1.0,EVE,False,,1.0,4.406475855414974,4.41,0.6784615384615384,68.35664335664336,50.0,50.0,100.0,50,69.80084048967659,91.8,66.0,66,under-owned
28,261,Iwobi,153133.jpg,Fulham,FUL,MID,5.5,0.9,103,2420,4,3,0.0,3.6,159.4,511.2,739.4,343.0,a,,,1.0,CHE,True,,1.0,4.397168080796504,4.4,0.8,68.18181818181819,50.0,50.0,100.0,100,83.65795724465559,99.1,65.9,66,low ownership + strong value
29,165,João Pedro,475168.jpg,Chelsea,CHE,FWD,7.5,55.7,177,2658,15,9,0.0,5.1,212.1,758.4,456.6,909.0,a,,,1.0,FUL,False,,1.0,4.39570545298281,4.4,0.5866666666666667,68.18181818181819,50.0,50.0,100.0,50,59.334916864608076,44.3,65.9,66,strong overall statistical profile
30,222,Strand Larsen,247412.jpg,Crystal Palace,CRY,FWD,6.0,0.6,75,2301,4,1,0.0,2.1,91.5,265.2,203.1,469.0,a,,,1.0,EVE,False,,1.0,4.387319316982583,4.39,0.7316666666666666,68.006993006993,50.0,50.0,100.0,50,75.86698337292161,99.4,65.8,66,low ownership
31,340,Gelhardt,462635.jpg,Leeds,LEE,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,100.0,63.8,64,low ownership + strong value
32,17,Merino,195384.jpg,Arsenal,ARS,MID,6.0,1.1,67,1024,4,3,0.0,3.0,73.6,304.4,191.8,244.0,a,,,1.0,COV,True,,1.0,4.2,4.2,0.7000000000000001,64.6853146853147,50.0,50.0,100.0,100,72.25653206650831,98.9,63.8,64,low ownership
33,551,Angulo,536661.jpg,Sunderland,SUN,MID,5.0,0.1,13,401,0,0,0.0,1.6,17.8,45.4,44.3,89.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,99.9,63.8,64,low ownership + strong value
34,550,Jocelin.T,699989.jpg,Sunderland,SUN,MID,5.0,0.0,1,38,0,0,0.0,1.0,1.0,3.4,4.3,2.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,100.0,63.8,64,low ownership + strong value
35,549,Talbi,549912.jpg,Sunderland,SUN,MID,5.5,0.2,83,1553,4,2,0.0,3.0,69.1,238.8,211.5,245.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,50,79.51198445260204,99.8,63.8,64,low ownership
36,548,Rigg,554197.jpg,Sunderland,SUN,MID,5.0,0.1,36,758,1,1,0.0,2.0,36.0,114.6,142.8,103.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,99.9,63.8,64,low ownership + strong value
37,338,Ampadu,199598.jpg,Leeds,LEE,MID,5.5,1.6,134,3119,1,4,0.0,3.8,114.7,592.2,384.8,166.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,50,79.51198445260204,98.4,63.8,64,low ownership
38,337,Aaronson,427637.jpg,Leeds,LEE,MID,5.5,0.8,126,2449,4,8,0.0,3.4,146.7,482.8,486.7,498.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,50,79.51198445260204,99.2,63.8,64,low ownership
39,336,Okafor,435997.jpg,Leeds,LEE,MID,6.0,0.7,109,1553,8,3,0.0,3.9,115.0,438.8,275.0,435.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.7000000000000001,64.6853146853147,50.0,50.0,100.0,50,72.25653206650831,99.3,63.8,64,low ownership
40,335,Stach,466525.jpg,Leeds,LEE,MID,6.0,1.2,137,2369,5,6,0.0,4.7,188.8,650.0,921.4,315.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.7000000000000001,64.6853146853147,50.0,50.0,100.0,50,72.25653206650831,98.8,63.8,64,low ownership
41,345,Tanaka,248056.jpg,Leeds,LEE,MID,5.0,0.3,67,1307,2,1,0.0,2.4,63.6,224.2,307.6,104.0,a,,,1.0,NFO,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,99.7,63.8,64,low ownership + strong value
42,19,Zubimendi,481655.jpg,Arsenal,ARS,MID,5.5,1.5,133,2991,5,1,0.0,3.5,126.2,603.2,385.1,271.0,a,,,1.0,COV,True,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,100,79.51198445260204,98.5,63.8,64,low ownership
43,42,Guessand,485337.jpg,Aston Villa,AVL,MID,5.5,0.0,44,909,1,3,0.0,2.1,42.0,159.4,76.6,187.0,a,,,1.0,BHA,False,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,50,79.51198445260204,100.0,63.8,64,low ownership
44,547,Mundle,461199.jpg,Sunderland,SUN,MID,5.0,0.0,14,399,0,0,0.0,1.0,12.7,29.4,33.6,69.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,100.0,63.8,64,low ownership + strong value
45,571,Florentino,216055.jpg,Ipswich Town,IPS,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,100,88.2185273159145,100.0,63.8,64,low ownership + strong value
46,562,Maeda,442967.jpg,Ipswich Town,IPS,MID,5.5,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,100,79.51198445260204,99.6,63.8,64,low ownership
47,324,Mehmeti,232457.jpg,Ipswich Town,IPS,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,100,88.2185273159145,99.9,63.8,64,low ownership + strong value
48,557,Tzolis,439509.jpg,Arsenal,ARS,MID,6.5,3.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,COV,True,,1.0,4.2,4.2,0.6461538461538462,64.6853146853147,50.0,50.0,100.0,100,66.11730312442901,96.4,63.8,64,low ownership
49,545,Sadiki,577669.jpg,Sunderland,SUN,MID,5.0,0.4,80,2891,0,2,0.0,2.4,84.6,347.6,333.3,162.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.8400000000000001,64.6853146853147,50.0,50.0,100.0,50,88.2185273159145,99.6,63.8,64,low ownership + strong value
50,544,Xhaka,84450.jpg,Sunderland,SUN,MID,5.5,5.3,124,2901,1,6,0.0,3.6,138.1,685.0,595.3,101.0,a,,,1.0,IPS,False,,1.0,4.2,4.2,0.7636363636363637,64.6853146853147,50.0,50.0,100.0,50,79.51198445260204,94.7,63.8,64,under-owned
