id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
426,B.Fernandes,Man Utd,MUN,MID,12.0,48.5,235,3065,9,24,0.0,6.7,381.4,1258.0,1938.5,614.0,a,,,1.0,HUL,False,,1.0,78.29,78.29,6.524166666666667
411,Haaland,Man City,MCI,FWD,15.5,74.2,239,2953,27,8,0.0,6.8,302.3,1180.4,320.1,1520.0,a,,,1.0,BOU,True,,1.0,62.50000000000001,62.50000000000001,4.03225806451613
155,Enzo,Chelsea,CHE,MID,7.0,5.5,157,3114,10,5,0.0,4.4,264.6,835.6,1063.2,747.0,a,,,1.0,FUL,False,,1.0,54.24000000000001,54.24000000000001,7.74857142857143
368,Szoboszlai,Liverpool,LIV,MID,7.0,45.8,160,3232,6,7,0.0,4.4,260.9,867.8,1324.6,417.0,a,,,1.0,NEW,False,,1.0,53.5,53.5,7.642857142857143
397,Semenyo,Man City,MCI,MID,8.5,24.2,202,3200,17,6,0.0,5.5,257.7,923.2,607.4,1047.0,a,,,1.0,BOU,True,,1.0,53.19,53.19,6.25764705882353
106,Thiago,Brentford,BRE,FWD,8.0,16.0,181,3282,22,1,0.0,4.8,256.9,1019.4,382.5,1170.0,a,,,1.0,TOT,True,,1.0,52.81999999999999,52.81999999999999,6.602499999999999
480,Gibbs-White,Nott'm Forest,NFO,MID,8.0,11.6,188,3101,15,4,0.0,5.1,242.5,843.8,747.7,836.0,a,,,1.0,LEE,True,,1.0,50.03,50.03,6.25375
40,Rogers,Chelsea,CHE,MID,7.5,28.4,169,3280,10,8,0.0,4.6,232.0,746.2,706.2,871.0,a,,,1.0,FUL,False,,1.0,47.78000000000001,47.78000000000001,6.370666666666668
12,Saka,Arsenal,ARS,MID,9.5,10.7,157,2218,7,10,0.0,5.1,230.6,627.0,847.6,828.0,a,,,1.0,COV,True,,1.0,47.650000000000006,47.650000000000006,5.015789473684211
427,Mbeumo,Man Utd,MUN,MID,8.0,21.2,148,2611,11,3,0.0,4.5,231.4,628.8,803.1,882.0,a,,,1.0,HUL,False,,1.0,47.63,47.63,5.95375
55,Watkins,Aston Villa,AVL,FWD,8.0,12.7,167,2833,16,4,0.0,4.5,225.2,720.2,330.9,1206.0,a,,,1.0,BHA,False,,1.0,46.39,46.39,5.79875
481,Anderson,Man City,MCI,MID,6.5,11.9,180,3332,4,5,0.0,4.7,219.0,915.2,961.5,310.0,a,,,1.0,BOU,True,,1.0,45.21,45.21,6.955384615384616
399,Cherki,Man City,MCI,MID,7.5,9.1,135,1772,4,13,0.0,4.1,218.1,604.2,996.6,579.0,a,,,1.0,BOU,True,,1.0,44.85,44.85,5.98
13,Rice,Arsenal,ARS,MID,7.5,22.3,184,3093,4,9,0.0,5.1,215.4,827.2,1027.4,298.0,a,,,1.0,COV,True,,1.0,44.61000000000001,44.61000000000001,5.948000000000001
165,João Pedro,Chelsea,CHE,FWD,7.5,55.1,177,2658,15,9,0.0,5.1,212.1,758.4,456.6,909.0,a,,,1.0,FUL,False,,1.0,43.95,43.95,5.86
366,Wirtz,Liverpool,LIV,MID,7.5,13.1,125,2374,5,4,0.0,3.8,210.0,526.4,908.2,665.0,a,,,1.0,NEW,False,,1.0,43.14,43.14,5.752
